Fund,Mandate Type,SITE,Mandate Size,AUM,YTD %,Since Inception %,Ranking,Target,From,As of,Asset Class,benchmark,新舊
LPF,103 年第二次委託經營,復華,"10,890,868,617","11,218,585,042",-2.22,3.01,1,3.50,2021/12/1,2022/4/30,,,
LPF,103 年第二次委託經營,匯豐中華,"10,790,827,015","11,063,635,326",-2.49,2.53,2,3.50,2021/12/1,2022/4/30,,,
LPF,103 年第二次委託經營,安聯,"15,017,345,063","15,105,617,483",-3.19,1.65,5,3.50,2021/12/1,2022/4/30,,,
LPF,104 年第一次委託經營第一期( 續約 ),復華,"3,651,168,229","5,026,247,218",-16.88,37.66,2,18.78,2019/4/1,2022/4/30,,,
LPF,104 年第一次委託經營第一期( 續約 ),安聯,"2,473,766,298","3,681,391,432",-9.19,47.31,1,18.78,2019/4/1,2022/4/30,,,
LPF,106 年第一次委託經營,台新,"4,500,000,000","6,294,324,696",-11.33,34.09,5,25.72,2018/2/7,2022/4/30,,,
LPF,106 年第一次委託經營,安聯,"7,500,000,000","11,440,900,052",-9.96,75.05,1,25.72,2018/2/7,2022/4/30,,,
LPF,106 年第一次委託經營,保德信,"5,000,000,000","6,398,010,234",-8.86,26.72,6,25.72,2018/2/7,2022/4/30,,,
LPF,106 年第一次委託經營,國泰,"4,500,000,000","6,272,195,851",1.84,38.36,4,25.72,2018/2/7,2022/4/30,,,
LPF,106 年第一次委託經營,群益,"4,750,000,000","6,593,363,852",-9.36,39.61,3,25.72,2018/2/7,2022/4/30,,,
LPF,106 年第一次委託經營,匯豐中華,"5,000,000,000","7,187,485,392",-2.31,45.28,2,25.72,2018/2/7,2022/4/30,,,
LPF,107 年第一次委託經營,台新,"6,000,000,000","9,638,970,092",-8.96,90.15,6,96.69,2018/10/24,2022/4/30,,,
LPF,107 年第一次委託經營,安聯,"6,000,000,000","10,248,269,393",-7.90,102.32,2,96.69,2018/10/24,2022/4/30,,,
LPF,107 年第一次委託經營,保德信,"6,000,000,000","9,814,708,776",-7.58,90.50,5,96.69,2018/10/24,2022/4/30,,,
LPF,107 年第一次委託經營,統一,"4,000,000,000","8,190,022,409",-8.14,106.41,1,96.69,2018/10/24,2022/4/30,,,
LPF,107 年第一次委託經營,國泰,"6,000,000,000","9,969,093,279",-8.57,94.44,3,96.69,2018/10/24,2022/4/30,,,
LPF,107 年第一次委託經營,復華,"4,000,000,000","7,872,751,495",-7.96,94.24,4,96.69,2018/10/24,2022/4/30,,,
LPF,107 年第一次委託經營,群益,"2,500,000,000","6,084,845,386",-7.60,87.36,7,96.69,2018/10/24,2022/4/30,,,
LPF,107 年第二次委託經營,安聯,"6,000,000,000","8,833,177,130",-9.94,53.86,3,17.94,2019/5/24,2022/4/30,,,
LPF,107 年第二次委託經營,施羅德,"6,000,000,000","8,496,712,559",-12.16,46.58,5,17.94,2019/5/24,2022/4/30,,,
LPF,107 年第二次委託經營,統一,"6,000,000,000","8,842,052,815",-10.24,53.32,4,17.94,2019/5/24,2022/4/30,,,
LPF,107 年第二次委託經營,野村,"11,000,000,000","14,769,896,983",-15.41,60.56,1,17.94,2019/5/24,2022/4/30,,,
LPF,107 年第二次委託經營,國泰,"11,000,000,000","14,738,364,317",-8.60,54.02,2,17.94,2019/5/24,2022/4/30,,,
LPF,107 年第二次委託經營,復華,"6,000,000,000","7,716,981,951",-17.02,36.23,6,17.94,2019/5/24,2022/4/30,,,
LPF,109 年第一次委託經營,台新,"8,000,000,000","8,026,992,686",-6.62,0.34,4,5.68,2021/5/13,2022/4/30,,,
LPF,109 年第一次委託經營,安聯,"8,000,000,000","8,052,624,160",-7.65,0.66,3,5.68,2021/5/13,2022/4/30,,,
LPF,109 年第一次委託經營,保德信,"8,000,000,000","7,639,868,173",-7.45,-4.50,5,5.68,2021/5/13,2022/4/30,,,
LPF,109 年第一次委託經營,國泰,"8,000,000,000","8,365,764,728",-9.88,4.57,1,5.68,2021/5/13,2022/4/30,,,
LPF,109 年第一次委託經營,野村,"8,000,000,000","8,131,562,208",-12.87,1.64,2,5.68,2021/5/13,2022/4/30,,,
LPF,110年第一次委託經營,安聯,"4,000,000,000","3,763,728,300",-6.14,-5.91,2,2.33,2021/12/15,2022/4/30,,,
LPF,110年第一次委託經營,保德信,"4,000,000,000","3,737,217,239",-7.06,-6.57,3,2.33,2021/12/15,2022/4/30,,,
LPF,110年第一次委託經營,國泰,"4,000,000,000","3,837,714,122",-4.87,-4.06,1,2.33,2021/12/15,2022/4/30,,,
LPF,110年第一次委託經營,第一金,"4,000,000,000","3,649,254,829",-9.21,-8.77,4,2.33,2021/12/15,2022/4/30,,,
LPF,110年第一次委託經營,野村,"4,000,000,000","3,602,018,806",-11.40,-9.95,6,2.33,2021/12/15,2022/4/30,,,
LPF,110年第一次委託經營,富邦,"4,000,000,000","3,616,817,969",-10.30,-9.58,5,2.33,2021/12/15,2022/4/30,,,
LRF,國內 98 年第二次委託經營( 續約 4),富邦,"12,256,867,963","1 1,211,023,313",-8.53,-8.53,2,1.54,2022/1/28,2022/4/30,,,
LRF,國內 98 年第二次委託經營( 續約 4),統一,"10,364,185,361","9,899,730,020",-4.48,-4.48,1,1.54,2022/1/28,2022/4/30,,,
LRF,國內 101 年第一次委託經營( 續約2 ),匯豐中華,"5,685,000,000","7,670,929,313",-8.51,34.93,－,36.45,2020/11/2,2022/4/30,,,
LRF,國內 101 年第二次委託經營( 續約2 ),野村,"19,272,822,959","27,027,565,164",-15.28,40.24,－,11.38,2020/05/04,2022/4/30,,,
LRF,國內104 年第一次委託經營第一期( 續約 ),復華,"3,651,419,951","5,027,087,282",-16.88,37.67,2,18.78,2019/4/1,2022/4/30,,,
LRF,國內104 年第一次委託經營第一期( 續約 ),安聯,"2,474,008,140","3,682,026,206",-9.18,47.32,1,18.78,2019/4/1,2022/4/30,,,
LRF,國內 106 年第一次委託經營第一期,台新,"4,500,000,000","6,294,951,450",-11.32,34.11,5,25.72,2018/2/7,2022/4/30,,,
LRF,國內 106 年第一次委託經營第一期,安聯,"7,500,000,000","1 1,441,983,558",-9.95,75.07,1,25.72,2018/2/7,2022/4/30,,,
LRF,國內 106 年第一次委託經營第一期,保德信,"5,000,000,000","6,398,762,342",-8.86,26.74,6,25.72,2018/2/7,2022/4/30,,,
LRF,國內 106 年第一次委託經營第一期,國泰,"4,500,000,000","6,272,776,313",1.84,38.38,4,25.72,2018/2/7,2022/4/30,,,
LRF,國內 106 年第一次委託經營第一期,群益,"4,750,000,000","6,594,435,999",-9.36,39.63,3,25.72,2018/2/7,2022/4/30,,,
LRF,國內 106 年第一次委託經營第一期,匯豐中華,"5,000,000,000","7,188,304,321",-2.31,45.30,2,25.72,2018/2/7,2022/4/30,,,
LIF,勞工保險基金 103年度續約3,國泰,"4,280,395,006","5,540,587,043",-8.29,29.44,－,9.15,2020/9/30,2022/4/30,,,
LIF,勞工保險基金 104年度續約3,野村,"8,518,656,861","8,419,824,178",-14.81,-1.16,1,4.65,2021/7/2,2022/4/30,,,
LIF,勞工保險基金 104年度續約3,永豐,"2,788,127,929","2,462,827,638",-17.11,-11.67,2,4.65,2021/7/2,2022/4/30,,,
LIF,勞工保險基金 106 年度年第一次委託經營,台新,"1,000,000,000","1,493,480,679",-11.49,49.35,2,21.76,2018/10/8,2022/4/30,,,
LIF,勞工保險基金 106 年度年第一次委託經營,安聯,"1,000,000,000","1,662,723,730",-9.79,66.27,1,21.76,2018/10/8,2022/4/30,,,
LIF,勞工保險基金 106 年度年第一次委託經營,保德信,"1,000,000,000","1,300,379,592",-8.78,30.04,6,21.76,2018/10/8,2022/4/30,,,
LIF,勞工保險基金 106 年度年第一次委託經營,國泰,"900,000,000","1,272,914,519",1.62,42.99,4,21.76,2018/10/8,2022/4/30,,,
LIF,勞工保險基金 106 年度年第一次委託經營,群益,"1,000,000,000","1,375,073,126",-9.07,37.51,5,21.76,2018/10/8,2022/4/30,,,
LIF,勞工保險基金 106 年度年第一次委託經營,匯豐中華,"1,000,000,000","1,430,573,302",-2.33,43.06,3,21.76,2018/10/8,2022/4/30,,,
NPIF,國民年金保險基金102 年度委託帳戶續約1,統一,"4,655,892,943","7,074,312,748",-10.08,55.43,1,24.14,2018/05/15,2022/04/30,,,
NPIF,國民年金保險基金102 年度委託帳戶續約1,匯豐中華,"5,215,619,054","7,050,574,994",-2.11,35.18,2,24.14,2018/05/15,2022/04/30,,,
NPIF,國民年金保險基金102 年度委託帳戶續約1,國泰,"5,465,802,808","7,282,299,564",1.69,34.02,4,24.14,2018/05/15,2022/04/30,,,
NPIF,國民年金保險基金102 年度委託帳戶續約1,永豐,"3,075,055,901","3,536,297,131",-16.17,24.03,5,24.14,2018/05/15,2022/04/30,,,
NPIF,國民年金保險基金102 年度委託帳戶續約1,摩根,"5,529,091,054","7,471,488,262",-12.58,35.13,3,24.14,2018/05/15,2022/04/30,,,
PSPF,101年委託經營,安聯,"6,000,000,000","19,172,509,433",-12.92,307.70,–,245.87,2012/6/5,2022/4/30,,,
PSPF,102年委託經營,統一,"5,000,000,000","14,362,147,936",-10.46,186.46,1,140.51,2014/9/26,2022/4/30,,,
PSPF,102年委託經營,安聯,"5,000,000,000","13,264,447,415",-12.91,173.35,2,140.51,2014/9/26,2022/4/30,,,
PSPF,105年委託經營,保德信,"3,000,000,000","5,684,119,968",-8.54,96.95,1,86.83,2018/10/16,2022/4/30,,,
PSPF,105年委託經營,復華,"3,000,000,000","5,485,470,571",-11.27,87.96,2,86.83,2018/10/16,2022/4/30,,,
PSPF,105年委託經營,國泰,"3,000,000,000","5,292,425,712",-10.69,84.15,3,86.83,2018/10/16,2022/4/30,,,
PSPF,105年委託經營,匯豐中華,"3,000,000,000","5,287,386,545",-7.96,83.97,4,86.83,2018/10/16,2022/4/30,,,
PSPF,107年委託經營,群益,"2,000,000,000","3,162,261,657",-8.64,81.58,1,98.57,2020/3/24,2022/4/30,,,
PSPF,107年委託經營,國泰,"2,000,000,000","3,118,661,785",-10.11,80.89,2,98.57,2020/3/24,2022/4/30,,,
PSPF,107年委託經營,復華,"2,000,000,000","3,151,106,978",-11.15,79.87,3,98.57,2020/3/24,2022/4/30,,,
PSPF,107年委託經營,統一,"2,000,000,000","3,149,801,237",-11.24,79.12,4,98.57,2020/3/24,2022/4/30,,,
PSPF,107年委託經營,野村,"2,000,000,000","3,055,856,619",-12.25,77.61,5,98.57,2020/3/24,2022/4/30,,,
PSPF,107年委託經營,保德信,"2,000,000,000","3,077,716,491",-10.05,75.03,6,98.57,2020/3/24,2022/4/30,,,
PSPF,108年委託經營,安聯,"5,000,000,000","6,628,291,445",-10.19,44.08,1,13.55,2020/2/7,2022/4/30,,,
PSPF,108年委託經營,國泰,"5,000,000,000","6,411,901,438",-13.71,37.38,2,13.55,2020/2/7,2022/4/30,,,
PSPF,108年委託經營,野村,"5,000,000,000","6,376,473,720",-14.64,36.59,3,13.55,2020/2/7,2022/4/30,,,
PSPF,108年委託經營,復華,"4,000,000,000","5,327,590,362",-19.61,34.45,4,13.55,2020/2/7,2022/4/30,,,
LPF,100 年第一次委託經營( 續約2 ),復華,11295508988.0,26857175824.0,-1.08,84.27,1.0,83.74,2019-07-15 00:00:00,2022-03-31 00:00:00,Relative Return,,old
LPF,102 年第二次委託經營 ( 續約 2),統一,14437134744.0,14455602230.0,0.13,0.13,1.0,-0.95,2022-01-24 00:00:00,2022-03-31 00:00:00,Relative Return,,old
LPF,102 年第二次委託經營 ( 續約 2),復華,19009802076.0,18915076790.0,-0.5,-0.5,2.0,-0.95,2022-01-24 00:00:00,2022-03-31 00:00:00,Relative Return,,old
