Fund,Mandate Type,Asset Manager,Mandate Size,AUM,YTD %,Since Inception %,Ranking,From,As of,Category,Investment Type,Asset Class,新舊
LPF,102-1 全球高股利增值股票型(續約),Vontobel,"1,056,315,337","1,492,863,240",-8.46,53.66,1,2019/1/22,2022/2/28,,,,
LPF,102-1 全球高股利增值股票型(續約),MFS,"603,318,800","823,561,606",-1.35,36.51,3,2019/1/22,2022/2/28,,,,
LPF,102-1 全球高股利增值股票型(續約),Wellington,"831,647,315","1,171,019,246",-3.22,46.80,2,2019/1/22,2022/2/28,,,,
LPF,102 - 1 全球信用主動債券型(續約),Bluebay,"586,338,464","672,334,618",-4.57,16.18,1,2019/4/25,2022/2/28,,,,
LPF,102 - 1 全球信用主動債券型(續約),BlackRock,"687,231,657","723,331,801",-5.18,8.29,3,2019/4/25,2022/2/28,,,,
LPF,102 - 1 全球信用主動債券型(續約),Loomis Sayles,"692,703,100","744,819,599",-5.04,10.71,2,2019/4/25,2022/2/28,,,,
LPF,104-1 全球高品質被動股票型(續約),Northern Trust,"1,596,617,127","1,912,482,640",-11.04,24.26,2,2020/8/11,2022/2/28,,,,
LPF,104-1 全球高品質被動股票型(續約),LGIM,"1,605,083,447","1,916,374,568",-11.05,23.96,3,2020/8/11,2022/2/28,,,,
LPF,104-1 全球高品質被動股票型(續約),Geode,"1,575,075,832","1,892,252,041",-11.07,24.34,1,2020/8/11,2022/2/28,,,,
LPF,104-2 全球 基礎建設有價證券型(續約),Magellan,"1,437,520,518","1,670,863,603",-4.46,16.23,2,2020/9/25,2022/2/28,,,,
LPF,104-2 全球 基礎建設有價證券型(續約),RREEF,"926,848,763","1,179,242,479",-3.28,27.23,1,2020/9/25,2022/2/28,,,,
LPF,104-1 全球主權信用增值債券型(續約),Brandywine,"641,176,083","609,252,489",-5.21,-4.98,1,2020/11/13,2022/2/28,,,,
LPF,104-1 全球主權信用增值債券型(續約),Loomis Sayles,"371,104,127","341,418,308",-3.60,-8.00,2,2020/11/13,2022/2/28,,,,
LPF,105-1 全球多元資產型 ( 續約 ),Allianz,"478,698,278","485,672,156",-3.83,1.46,1,2021/7/20,2022/2/28,,,,
LPF,105-1 全球多元資產型 ( 續約 ),J.P. Morgan,"1,645,715,430","1,613,293,975",-6.22,-1.97,3,2021/7/20,2022/2/28,,,,
LPF,105-1 全球多元資產型 ( 續約 ),DWS,"925,711,371","911,415,213",-2.95,-1.54,2,2021/7/20,2022/2/28,,,,
LPF,105-1 全球多元資產型 ( 續約 ),PineBridge,"765,326,657","738,181,895",-5.37,-3.55,4,2021/7/20,2022/2/28,,,,
LPF,105-1 亞太混合指數增值股票型(續約),BlackRock,"949,175,052","920,346,052",-3.93,-3.04,－,2021/8/24,2022/2/28,,,,
LPF,106-1 全球ESG混合指數被動股票型,BlackRock,"400,000,000","551,285,914",-6.53,56.83,4,2017/6/22,2022/2/28,,,,
LPF,106-1 全球ESG混合指數被動股票型,DWS,"470,000,000","640,236,582",-6.59,57.34,3,2017/6/22,2022/2/28,,,,
LPF,106-1 全球ESG混合指數被動股票型,State Street,"470,000,000","640,428,606",-6.51,57.45,2,2017/6/22,2022/2/28,,,,
LPF,106-1 全球ESG混合指數被動股票型,Northern Trust,"470,000,000","642,145,677",-6.54,57.87,1,2017/6/22,2022/2/28,,,,
LPF,106-1 絕對報酬債券型,American Century,"400,000,000","441,427,790",-1.90,10.51,3,2017/7/25,2022/2/28,,,,
LPF,106-1 絕對報酬債券型,Fidelity,"1,000,000,000","1,074,241,773",-5.21,10.97,2,2017/7/25,2022/2/28,,,,
LPF,106-1 絕對報酬債券型,Franklin,"400,000,000","423,638,041",-1.20,6.50,4,2017/7/25,2022/2/28,,,,
LPF,106-1 絕對報酬債券型,TCW,"900,000,000","974,969,731",-1.71,13.32,1,2017/7/25,2022/2/28,,,,
LPF,107-1絕對報酬股票型,Nomura,"300,000,000","302,794,838",-1.16,4.77,5,2019/1/23,2022/2/28,,,,
LPF,107-1絕對報酬股票型,Invesco,"480,000,000","634,867,872",-3.76,42.31,1,2019/1/23,2022/2/28,,,,
LPF,107-1絕對報酬股票型,Wellington,"600,000,000","722,632,697",-3.61,30.57,3,2019/1/23,2022/2/28,,,,
LPF,107-1絕對報酬股票型,CPR,"480,000,000","623,598,028",-5.23,38.11,2,2019/1/23,2022/2/28,,,,
LPF,107-1絕對報酬股票型,State Street,"500,000,000","588,328,012",-5.90,21.98,4,2019/1/23,2022/2/28,,,,
LPF,108-1全球新興市場動態多元因子指數增值股票型,Amundi,"400,000,000","450,262,905",-3.36,3.39,4,2019/12/18,2022/2/28,,,,
LPF,108-1全球新興市場動態多元因子指數增值股票型,DWS,"400,000,000","435,107,188",-2.28,2.13,5,2019/12/18,2022/2/28,,,,
LPF,108-1全球新興市場動態多元因子指數增值股票型,Nomura,"400,000,000","468,546,656",-3.15,8.19,1,2019/12/18,2022/2/28,,,,
LPF,108-1全球新興市場動態多元因子指數增值股票型,Robeco,"300,000,000","360,839,627",-2.00,5.64,3,2019/12/18,2022/2/28,,,,
LPF,108-1全球新興市場動態多元因子指數增值股票型,State Street,"300,000,000","364,919,089",-5.57,5.99,2,2019/12/18,2022/2/28,,,,
LPF,109-1全球美元公司增值債券型,DWS,"400,000,000","386,356,588",-4.85,-5.21,4,2021/1/13,2022/2/28,,,,
LPF,109-1全球美元公司增值債券型,Insight,"400,000,000","386,523,630",-4.86,-4.95,1,2021/1/13,2022/2/28,,,,
LPF,109-1全球美元公司增值債券型,J.P. Morgan,"400,000,000","386,807,889",-4.86,-5.19,3,2021/1/13,2022/2/28,,,,
LPF,109-1全球美元公司增值債券型,PIMCO,"400,000,000","386,458,115",-4.99,-5.17,2,2021/1/13,2022/2/28,,,,
LPF,109-1全球美元公司增值債券型,Western,"400,000,000","384,007,315",-5.27,-5.53,5,2021/1/13,2022/2/28,,,,
LPF,110-1全球基礎建設有價證券型,CBRE,"250,000,000","249,493,629",-2.65,-0.31,2,2021/9/8,2022/2/28,,,,
LPF,110-1全球基礎建設有價證券型,ClearBridge,"250,000,000","259,307,033",0.03,4.31,1,2021/9/8,2022/2/28,,,,
LPF,110-1全球基礎建設有價證券型,Magellan,"250,000,000","249,747,603",-2.96,-1.20,3,2021/9/8,2022/2/28,,,,
LPF,110-1全球基礎建設有價證券型,RREEF,"250,000,000","247,247,668",-4.27,-1.62,4,2021/9/8,2022/2/28,,,,
LPF,110-1全球多元資產型,Fidelity,"400,000,000","384,411,280",-5.80,-4.29,4,2021/10/15,2022/2/28,,,,
LPF,110-1全球多元資產型,J.P. Morgan,"400,000,000","384,077,854",-5.82,-4.15,3,2021/10/15,2022/2/28,,,,
LPF,110-1全球多元資產型,Ninety one,"400,000,000","393,779,793",-1.63,-2.08,1,2021/10/15,2022/2/28,,,,
LPF,110-1全球多元資產型,Schroders,"400,000,000","385,443,472",-5.17,-4.04,2,2021/10/15,2022/2/28,,,,
LPF,110-1全球多元資產型,T. Rowe Price,"400,000,000","381,459,331",-5.75,-5.76,5,2021/10/15,2022/2/28,,,,
LRF,96 年續約3 國外委託經營 ( 平衡型  ),Fidelity,"786,579,222","965,653,299",-4.62,20.08,－,2019/6/24,2022/2/28,,,,
LRF,97年續約3國外委託經營( 全球增值債券型 ),PIMCO,"1,003,724,736","974,609,940",-2.90,-2.90,2,2022/1/6,2022/2/28,,,,
LRF,97年續約3國外委託經營( 全球增值債券型 ),Loomis Sayles,"948,693,762","924,115,975",-2.59,-2.59,1,2022/1/6,2022/2/28,,,,
LRF,97年續約3 國外委託經營 ( 全球增值股票型 ),BlackRock,"1,156,987,544","1,118,215,278",-3.35,-3.35,－,2022/2/6,2022/2/28,,,,
LRF,98-1 亞太（ 日本除外）股票型（ 續約2）,Invesco,"307,323,526","372,433,619",0.95,26.09,－,2017/11/17,2022/2/28,,,,
LRF,100年續約國外委託經營 ( 全球基本面指數股票型 ),BlackRock,"255,588,950","414,207,526",-2.56,54.90,4,2017/3/6,2022/2/28,,,,
LRF,100年續約國外委託經營 ( 全球基本面指數股票型 ),State Street,"258,539,391","420,660,359",-2.57,55.42,2,2017/3/6,2022/2/28,,,,
LRF,100年續約國外委託經營 ( 全球基本面指數股票型 ),UBS,"256,994,133","417,592,743",-2.37,55.17,3,2017/3/6,2022/2/28,,,,
LRF,100年續約國外委託經營 ( 全球基本面指數股票型 ),Nomura,"257,549,840","421,281,019",-2.53,55.98,1,2017/3/6,2022/2/28,,,,
LRF,101 年續約國外委託經營 (全球低波動指數股票型 ),BlackRock,"671,455,711","808,653,557",-4.70,20.43,－,2018/6/13,2022/2/28,,,,
LRF,102 年續約國外委託經營 ( 全球高股利增值股票型 ),Vontobel,"287,169,673","442,323,957",-8.45,54.03,1,2019/1/22,2022/2/28,,,,
LRF,102 年續約國外委託經營 ( 全球高股利增值股票型 ),MFS,"246,618,331","337,009,554",-1.35,36.65,3,2019/1/22,2022/2/28,,,,
LRF,102 年續約國外委託經營 ( 全球高股利增值股票型 ),Wellington,"503,548,464","739,632,528",-3.22,46.88,2,2019/1/22,2022/2/28,,,,
LRF,102 年續約國外委託經營 ( 全球基礎建設有價證券型 ),Lazard,"713,987,040","869,157,082",-3.02,22.66,－,2019/5/29,2022/2/28,,,,
LRF,102 年續約國外委託經營 ( 全球不動產有價證券型 ),PGI,"610,886,182","725,094,547",-8.80,14.82,2,2019/8/27,2022/2/28,,,,
LRF,102 年續約國外委託經營 ( 全球不動產有價證券型 ),AMP,"126,937,100","153,455,727",-9.37,20.89,1,2019/8/27,2022/2/28,,,,
LRF,105-1 全球多元資產型 ( 續約 ),Allianz,"155,447,975","157,764,964",-3.82,1.49,1,2021/7/20,2022/2/28,,,,
LRF,105-1 全球多元資產型 ( 續約 ),J.P. Morgan,"594,592,070","583,183,837",-6.10,-1.92,3,2021/7/20,2022/2/28,,,,
LRF,105-1 全球多元資產型 ( 續約 ),DWS,"311,387,682","306,570,692",-2.96,-1.55,2,2021/7/20,2022/2/28,,,,
LRF,105-1 全球多元資產型 ( 續約 ),PineBridge,"254,823,294","245,747,802",-5.38,-3.56,4,2021/7/20,2022/2/28,,,,
LRF,106-1 全球ESG混合指數被動股票型,BlackRock,"150,000,000","222,124,424",-6.50,56.51,4,2017/6/22,2022/2/28,,,,
LRF,106-1 全球ESG混合指數被動股票型,DWS,"150,000,000","223,365,663",-6.58,57.53,3,2017/6/22,2022/2/28,,,,
LRF,106-1 全球ESG混合指數被動股票型,State Street,"150,000,000","223,525,433",-6.48,57.56,2,2017/6/22,2022/2/28,,,,
LRF,106-1 全球ESG混合指數被動股票型,Northern Trust,"150,000,000","223,647,993",-6.53,57.57,1,2017/6/22,2022/2/28,,,,
LRF,106-1 絕對報酬債券型,American Century,"300,000,000","330,084,537",-1.94,10.55,3,2017/7/25,2022/2/28,,,,
LRF,106-1 絕對報酬債券型,Fidelity,"300,000,000","334,577,893",-5.02,11.24,2,2017/7/25,2022/2/28,,,,
LRF,106-1 絕對報酬債券型,Franklin,"300,000,000","314,852,005",-1.23,6.53,4,2017/7/25,2022/2/28,,,,
LRF,106-1 絕對報酬債券型,TCW,"300,000,000","340,661,408",-1.72,15.41,1,2017/7/25,2022/2/28,,,,
LRF,107-1絕對報酬股票型,Nomura,"40,000,000","36,373,006",-1.21,4.72,5,2019/1/23,2022/2/28,,,,
LRF,107-1絕對報酬股票型,Invesco,"80,000,000","109,657,248",-3.81,41.46,1,2019/1/23,2022/2/28,,,,
LRF,107-1絕對報酬股票型,Wellington,"80,000,000","98,590,980",-3.60,30.65,3,2019/1/23,2022/2/28,,,,
LRF,107-1絕對報酬股票型,CPR,"80,000,000","108,107,124",-5.24,38.25,2,2019/1/23,2022/2/28,,,,
LRF,107-1絕對報酬股票型,State Street,"80,000,000","92,223,054",-5.90,21.77,4,2019/1/23,2022/2/28,,,,
LRF,110-1全球基礎建設有價證券型,CBRE,"30,000,000","29,893,035",-2.66,-0.36,2,2021/9/8,2022/2/28,,,,
LRF,110-1全球基礎建設有價證券型,ClearBridge,"30,000,000","31,394,136",0.03,4.65,1,2021/9/8,2022/2/28,,,,
LRF,110-1全球基礎建設有價證券型,Magellan,"30,000,000","29,722,259",-2.96,-0.93,3,2021/9/8,2022/2/28,,,,
LRF,110-1全球基礎建設有價證券型,RREEF,"30,000,000","29,577,157",-4.20,-1.41,4,2021/9/8,2022/2/28,,,,
LIF,96 年全球新興市場主動股票型 (續約),Vontobel,"134,445,625","132,977,159",-3.29,-2.24,－,2017/10/2,2022/2/28,,,,
LIF,100 年全球主動股票型 ( 續約 ),MFS,"1,696,084,601","1,574,206,395",-8.89,-7.19,－,2021/11/1,2022/2/28,,,,
LIF,101 年全球新興市場主動債券型 ( 續約 ),Franklin,"300,039,317","310,809,551",-7.40,3.59,－,2017/11/1,2022/2/28,,,,
LIF,104 年全球主動債券型 ( 續約2 ),Wellington,"358,235,765","350,345,558",-3.32,-2.20,2,2020/2/3,2022/2/28,,,,
LIF,104 年全球主動債券型 ( 續約2 ),PIMCO,"934,536,253","924,774,830",-3.38,-0.44,1,2020/2/3,2022/2/28,,,,
LIF,104-1 全球高品質被動股票型(續約),Northern Trust,"423,550,185","526,324,777",-11.02,24.27,2,2020/8/11,2022/2/28,,,,
LIF,104-1 全球高品質被動股票型(續約),LGIM,"423,212,022","525,131,272",-11.04,24.08,3,2020/8/11,2022/2/28,,,,
LIF,104-1 全球高品質被動股票型(續約),Geode,"422,872,469","525,960,431",-11.06,24.38,1,2020/8/11,2022/2/28,,,,
LIF,104-2 全球基礎建設有價證券型(續約),Macquarie,"103,110,456","242,193,666",1.50,32.42,1,2020/9/25,2022/2/28,,,,
LIF,104-2 全球基礎建設有價證券型(續約),Magellan,"334,158,139","388,741,908",-4.43,16.33,3,2020/9/25,2022/2/28,,,,
LIF,104-2 全球基礎建設有價證券型(續約),RREEF,"265,570,288","337,886,323",-3.24,27.23,2,2020/9/25,2022/2/28,,,,
LIF,104-2 全球不動產有價證券型(續約),CBRE,"229,525,997","322,145,911",-9.71,40.35,1,2020/9/25,2022/2/28,,,,
LIF,104-2 全球不動產有價證券型(續約),PGI,"343,981,408","432,448,612",-8.80,29.44,2,2020/9/25,2022/2/28,,,,
LIF,104-1 全球主權信用增值債券型(續約),Loomis Sayles,"122,855,665","112,897,984",-3.62,-8.11,－,2020/11/13,2022/2/28,,,,
LIF,105-1 全球多元資產型 ( 續約 ),Allianz,"194,927,948","197,776,753",-3.82,1.46,1,2021/7/20,2022/2/28,,,,
LIF,105-1 全球多元資產型 ( 續約 ),J.P. Morgan,"426,766,888","418,533,943",-6.09,-1.93,3,2021/7/20,2022/2/28,,,,
LIF,105-1 全球多元資產型 ( 續約 ),DWS,"326,338,852","321,181,636",-2.97,-1.58,2,2021/7/20,2022/2/28,,,,
LIF,105-1 全球多元資產型 ( 續約 ),PineBridge,"317,911,365","306,626,980",-5.38,-3.55,4,2021/7/20,2022/2/28,,,,
LIF,105-1 亞太混合指數增值股票型(續約),BlackRock,"151,969,815","147,297,668",-4.04,-3.07,－,2021/8/24,2022/2/28,,,,
LIF,106-1 全球ESG混合指數被動股票型,BlackRock,"125,000,000","175,148,948",-6.52,56.46,4,2017/6/22,2022/2/28,,,,
LIF,106-1 全球ESG混合指數被動股票型,DWS,"125,000,000","175,771,935",-6.59,57.34,3,2017/6/22,2022/2/28,,,,
LIF,106-1 全球ESG混合指數被動股票型,State Street,"125,000,000","175,742,232",-6.48,57.48,1,2017/6/22,2022/2/28,,,,
LIF,106-1 全球ESG混合指數被動股票型,Northern Trust,"125,000,000","176,001,495",-6.54,57.46,2,2017/6/22,2022/2/28,,,,
LIF,106-1 絕對報酬債券型,American Century,"100,000,000","109,519,258",-2.01,10.44,3,2017/7/25,2022/2/28,,,,
LIF,106-1 絕對報酬債券型,Fidelity,"300,000,000","303,003,463",-4.15,11.77,2,2017/7/25,2022/2/28,,,,
LIF,106-1 絕對報酬債券型,Franklin,"100,000,000","104,584,100",-1.22,6.45,4,2017/7/25,2022/2/28,,,,
LIF,106-1 絕對報酬債券型,TCW,"300,000,000","310,096,368",-1.67,15.72,1,2017/7/25,2022/2/28,,,,
NPIF,104-1 全球高品質被動股票型(續約),Northern Trust,"279,504,715","347,304,106",-11.02,24.26,2,2020/08/11,2022/02/28,,,,
NPIF,104-1 全球高品質被動股票型(續約),LGIM,"279,205,663","346,261,156",-11.02,24.02,3,2020/08/11,2022/02/28,,,,
NPIF,104-1 全球高品質被動股票型(續約),Geode,"278,841,018","346,922,014",-11.06,24.42,1,2020/08/11,2022/02/28,,,,
NPIF,104-2 全球不動產有價證券型(續約),CBRE,"115,859,702","162,578,123",-9.70,40.32,1,2020/09/25,2022/02/28,,,,
NPIF,104-2 全球不動產有價證券型(續約),PGI,"170,968,577","221,295,466",-8.80,29.44,2,2020/09/25,2022/02/28,,,,
NPIF,104-1 全球主權信用增值債券型 (續約),Loomis Sayles,"294,532,220","270,737,046",-3.62,-8.08,－,2020/11/13,2022/02/28,,,,
NPIF,105-1 亞太混合指數增值股票型(續約),BlackRock,"151,227,051","146,567,020",-4.05,-3.08,－,2021/08/24,2022/02/28,,,,
NPIF,106-1 全球ESG混合指數被動股票型,BlackRock,"125,000,000","178,580,640",-6.51,56.64,4,2017/06/22,2022/02/28,,,,
NPIF,106-1 全球ESG混合指數被動股票型,DWS,"125,000,000","179,126,046",-6.59,57.30,3,2017/06/22,2022/02/28,,,,
NPIF,106-1 全球ESG混合指數被動股票型,State Street,"125,000,000","179,439,990",-6.52,57.99,1,2017/06/22,2022/02/28,,,,
NPIF,106-1 全球ESG混合指數被動股票型,Northern Trust,"125,000,000","179,380,809",-6.53,57.46,2,2017/06/22,2022/02/28,,,,
NPIF,106-1 絕對報酬債券型,American Century,"100,000,000","110,352,217",-1.97,10.45,3,2017/07/25,2022/02/28,,,,
NPIF,106-1 絕對報酬債券型,Fidelity,"150,000,000","160,603,687",-4.86,11.28,2,2017/07/25,2022/02/28,,,,
NPIF,106-1 絕對報酬債券型,Franklin,"100,000,000","105,265,023",-1.20,6.60,4,2017/07/25,2022/02/28,,,,
NPIF,106-1 絕對報酬債券型,TCW,"150,000,000","163,071,662",-1.83,15.40,1,2017/07/25,2022/02/28,,,,
NPIF,107-1絕對報酬股票型,Nomura,"40,000,000","36,370,002",-1.21,4.71,5,2019/01/23,2022/02/28,,,,
NPIF,107-1絕對報酬股票型,Invesco,"80,000,000","109,705,985",-3.77,41.52,1,2019/01/23,2022/02/28,,,,
NPIF,107-1絕對報酬股票型,Wellington,"120,000,000","149,994,548",-3.59,30.59,3,2019/01/23,2022/02/28,,,,
NPIF,107-1絕對報酬股票型,CPR,"80,000,000","108,125,660",-5.24,38.30,2,2019/01/23,2022/02/28,,,,
NPIF,107-1絕對報酬股票型,State Street,"120,000,000","141,835,868",-5.90,21.47,4,2019/01/23,2022/02/28,,,,
NPIF,109-1全球美元公司增值債券型,DWS,"60,000,000","57,977,910",-4.86,-5.09,2,2021/01/13,2022/02/28,,,,
NPIF,109-1全球美元公司增值債券型,Insight,"60,000,000","58,068,845",-4.77,-4.79,1,2021/01/13,2022/02/28,,,,
NPIF,109-1全球美元公司增值債券型,J.P. Morgan,"60,000,000","58,011,987",-4.86,-5.10,3,2021/01/13,2022/02/28,,,,
NPIF,109-1全球美元公司增值債券型,PIMCO,"60,000,000","57,863,212",-5.04,-5.27,4,2021/01/13,2022/02/28,,,,
NPIF,109-1全球美元公司增值債券型,Western,"60,000,000","57,687,187",-5.26,-5.36,5,2021/01/13,2022/02/28,,,,
NPIF,110-1全球多元資產型,Fidelity,"60,000,000","57,389,814",-5.78,-4.35,4,2021/10/15,2022/02/28,,,,
NPIF,110-1全球多元資產型,J.P. Morgan,"60,000,000","57,509,023",-5.81,-4.15,3,2021/10/15,2022/02/28,,,,
NPIF,110-1全球多元資產型,Ninety one,"60,000,000","58,823,044",-1.52,-1.96,1,2021/10/15,2022/02/28,,,,
NPIF,110-1全球多元資產型,Schroders,"60,000,000","57,571,862",-5.19,-4.05,2,2021/10/15,2022/02/28,,,,
NPIF,110-1全球多元資產型,T. Rowe Price,"60,000,000","56,604,424",-5.65,-5.66,5,2021/10/15,2022/02/28,,,,
PSPF,第 5 次續約 - 亞太股票型,Fidelity,"363,076,477.07","479,137,586.69",-5.05,41.35,-,2014/4/28,2022/2/28,,,,
PSPF,第 5 次續約 - 國際股票型,Allianz,"204,341,586.67","472,748,274.48",-6.78,76.63,-,2014/6/4,2022/2/28,,,,
PSPF,第 6 次 - 國際股票型,Schroders,"300,000,000","732,529,225.86",-8.78,211.49,2,2011/8/16,2022/2/28,,,,
PSPF,第 6 次 - 國際股票型,Allianz,"250,000,000","735,069,550.50",-6.72,214.86,1,2011/8/16,2022/2/28,,,,
PSPF,第 7 次 - 公司債券型,Amundi,"320,000,000","384,283,453.75",-5.12,40.68,-,2012/6/7,2022/2/28,,,,
PSPF,第 9 次 - 高股利股票型,Allianz,"400,000,000","578,013,448.06",-2.82,71.26,1,2014/10/1,2022/2/28,,,,
PSPF,第 9 次 - 高股利股票型,BlackRock,"300,000,000","476,405,495.13",-3.60,62.79,2,2014/10/1,2022/2/28,,,,
PSPF,第 9 次 - 低波動股票型,BlackRock,"250,000,000","349,453,128.35",-6.50,63.82,2,2015/6/1,2022/2/28,,,,
PSPF,第 9 次 - 低波動股票型,UBS,"250,000,000","351,141,252.50",-6.43,64.55,1,2015/6/1,2022/2/28,,,,
PSPF,第 10 次 - 基礎建設股票型,DWS,"150,000,000","230,866,214.50",-3.31,60.00,-,2015/3/18,2022/2/28,,,,
PSPF,第 10 次 - 不動產股票型,Cohen & Steers,"300,000,000","402,624,603.68",-6.79,58.60,-,2015/6/1,2022/2/28,,,,
PSPF,第 11 次 - 多元資產型,Schroders,"200,000,000","251,198,174.07",-4.73,28.48,3,2017/6/5,2022/2/28,,,,
PSPF,第 11 次 - 多元資產型,J.P. Morgan,"300,000,000","350,830,430.01",-5.85,30.81,1,2017/6/5,2022/2/28,,,,
PSPF,第 11 次 - 多元資產型,Alliance Bernstein,"300,000,000","347,290,077.96",-6.93,29.03,2,2017/6/5,2022/2/28,,,,
PSPF,第12次-總報酬固定收益型,Amundi,"350,000,000","375,326,226.71",-2.42,12.71,2,2018/6/5,2022/2/28,,,,
PSPF,第12次-總報酬固定收益型,DWS,"350,000,000","370,784,100.62",-4.17,10.88,3,2018/6/5,2022/2/28,,,,
PSPF,第12次-總報酬固定收益型,TCW,"350,000,000","378,271,372.37",-1.86,13.18,1,2018/6/5,2022/2/28,,,,
PSPF,第12次-總報酬固定收益型,American Century,"250,000,000","265,218,848.56",-1.96,8.87,4,2018/6/5,2022/2/28,,,,
PSPF,第13次-高品質ESG 股票型,BlackRock,"200,000,000","185,477,481.27",-9.35,-5.64,1,2021/9/27,2022/2/28,,,,
PSPF,第13次-高品質ESG 股票型,UBS,"200,000,000","185,461,054.04",-9.21,-5.67,2,2021/9/27,2022/2/28,,,,
LPF,97-2 全球增值債券型（ 續約2）,PIMCO,1519586290.0,1720533253.0,-5.95,19.55,1.0,2017-01-06 00:00:00,2021-11-30 00:00:00,Global,Enhanced,Fixed Income,old
LPF,97-2 全球增值股票型（ 續約2）,BlackRock,967348593.0,1818309805.0,17.32,87.97,2.0,2017-02-06 00:00:00,2021-11-30 00:00:00,Global,Enhanced,Equity,old
LPF,97-2 全球增值股票型（ 續約2）,J.P. Morgan,802177668.0,1549934090.0,20.17,93.22,1.0,2017-02-06 00:00:00,2021-11-30 00:00:00,Global,Enhanced,Equity,old
LRF,97年續約2國外委託經營( 全球增值債券型 ),PIMCO,1123576760.0,1312517976.0,-6.0,19.73,2.0,2017-01-06 00:00:00,2021-11-30 00:00:00,Global,Enhanced,Fixed Income,old
LRF,97年續約2國外委託經營( 全球增值債券型 ),Loomis Sayles,798763197.0,955224809.0,-5.76,21.11,1.0,2017-01-06 00:00:00,2021-11-30 00:00:00,Global,Enhanced,Fixed Income,old
LRF,97年續約2 國外委託經營 ( 全球增值股票型 ),BlackRock,756337413.0,1421737218.0,17.29,87.98,1.0,2017-02-06 00:00:00,2021-11-30 00:00:00,Global,Enhanced,Equity,old
LRF,98 年續約2 國外委託經營 ( 亞太股票型 ),Invesco,307323526.0,368914762.0,0.79,24.89,1.0,2017-11-17 00:00:00,2021-11-30 00:00:00,Asian,Active,Equity,old
