SITE,Mandate Size,AUM,YTD %,Since Inception %,Ranking,Target,Fund,Mandate Type,From,As of,Asset Manager
信安 環球,"610,886,182","715,634,511",-9.99,13.32,2,9.48,LRF,102 年續約國外委託經營 ( 全球不動產有價證券型 ) ,2019/8/27,2022/4/30,PGI
Macquarie,"126,937,100","152,513,395",-9.93,20.15,1,9.48,LRF,102 年續約國外委託經營 ( 全球不動產有價證券型 ) ,2019/8/27,2022/4/30,
Allianz,"155,447,975","152,764,848",-6.86,-1.73,1,0.14/4.04,LRF,105-1 全球多元資產型 ( 續約 ),2021/7/20,2022/4/30,Allianz
摩根,"594,592,070","552,449,604",-11.05,-7.09,3,0.14/4.04,LRF,105-1 全球多元資產型 ( 續約 ),2021/7/20,2022/4/30,J.P. Morgan
DWS,"311,387,682","294,543,319",-6.77,-5.41,2,0.14/4.04,LRF,105-1 全球多元資產型 ( 續約 ),2021/7/20,2022/4/30,DWS
柏瑞,"254,823,294","230,718,859",-11.17,-9.46,4,0.14/4.04,LRF,105-1 全球多元資產型 ( 續約 ),2021/7/20,2022/4/30,PineBridge
貝萊德,"150,000,000","212,666,916",-10.48,49.85,4,49.35,LRF,106-1 全球ESG混合指數被動股票型,2017/6/22,2022/4/30,BlackRock
DWS,"150,000,000","213,621,244",-10.65,50.66,3,49.35,LRF,106-1 全球ESG混合指數被動股票型,2017/6/22,2022/4/30,DWS
道富,"150,000,000","213,845,535",-10.53,50.74,2,49.35,LRF,106-1 全球ESG混合指數被動股票型,2017/6/22,2022/4/30,State Street
北美信託,"150,000,000","213,989,516",-10.57,50.77,1,49.35,LRF,106-1 全球ESG混合指數被動股票型,2017/6/22,2022/4/30,Northern Trust
American Century,"300,000,000","323,242,202",-3.98,8.26,2,5.01/16.94,LRF,106-1 絕對報酬債券型,2017/7/25,2022/4/30,American Century
富達,"300,000,000","324,698,110",-7.82,7.96,3,5.01/16.94,LRF,106-1 絕對報酬債券型,2017/7/25,2022/4/30,Fidelity
富蘭克林 坦伯頓,"300,000,000","312,436,369",-1.98,5.71,4,5.01/16.94,LRF,106-1 絕對報酬債券型,2017/7/25,2022/4/30,Franklin
TCW,"300,000,000","331,118,176",-4.48,12.17,1,5.01/16.94,LRF,106-1 絕對報酬債券型,2017/7/25,2022/4/30,TCW
Nomura,"40,000,000","36,263,321",-1.50,4.40,5,3.12/19.47,LRF,107-1絕對報酬股票型,2019/1/23,2022/4/30,Nomura
景順,"80,000,000","105,766,207",-7.22,36.44,1,3.12/19.47,LRF,107-1絕對報酬股票型,2019/1/23,2022/4/30,Invesco
威靈頓,"80,000,000","95,134,392",-6.98,26.07,3,3.12/19.47,LRF,107-1絕對報酬股票型,2019/1/23,2022/4/30,Wellington
CPR,"80,000,000","103,591,315",-9.20,32.48,2,3.12/19.47,LRF,107-1絕對報酬股票型,2019/1/23,2022/4/30,CPR
道富,"80,000,000","92,348,591",-5.77,21.94,4,3.12/19.47,LRF,107-1絕對報酬股票型,2019/1/23,2022/4/30,State Street
CBRE,"30,000,000","30,359,911",-1.14,1.20,4,3.17,LRF,110-1全球基礎建設有價證券型,2021/9/8,2022/4/30,CBRE
ClearBridge,"30,000,000","32,536,437",3.67,8.45,1,3.17,LRF,110-1全球基礎建設有價證券型,2021/9/8,2022/4/30,ClearBridge
Magellan,"30,000,000","30,939,328",1.01,3.13,2,3.17,LRF,110-1全球基礎建設有價證券型,2021/9/8,2022/4/30,Magellan
RREEF,"30,000,000","30,393,728",-1.55,1.31,3,3.17,LRF,110-1全球基礎建設有價證券型,2021/9/8,2022/4/30,RREEF
