代號	名稱	標的代號	標的名稱	股數／單位數	投資比率(%)
98637337	PGIM保德信新興市場企業債券-新臺幣累積型	XS2162033729	QNBK 2 5/8 05/12/25		5.5
98637337	PGIM保德信新興市場企業債券-新臺幣累積型	XS0308427581	DPWDU 6.85 07/02/37		3.7
98637337	PGIM保德信新興市場企業債券-新臺幣累積型	XS1405775880	GEBGG 6 07/26/23		3.55
98637337	PGIM保德信新興市場企業債券-新臺幣累積型	US69033DAC11	OCBCSP 4 1/4 06/19/24		3.37
98637337	PGIM保德信新興市場企業債券-新臺幣累積型	XS2203996306	SECO 2.413 09/17/30		3.31
98636836	PGIM保德信新興趨勢組合	US46429B6719	iShares安碩MSCI中國ETF	96300	24.54
98636836	PGIM保德信新興趨勢組合	US4642867729	iShares安碩MSCI南韓ETF	37418	11.69
98636836	PGIM保德信新興趨勢組合	98764389	元大台灣卓越50基金	549000	11.66
98636836	PGIM保德信新興趨勢組合	US46429B5984	iShares MSCI印度ETF	56976	10.8
98636836	PGIM保德信新興趨勢組合	US4642864007	iShares安碩MSCI巴西ETF	33573	4.77
20089122	PGIM保德信瑞騰	B50158	P07遠東新2		4.45
20089122	PGIM保德信瑞騰	B30436	P06統一1		2.88
20089122	PGIM保德信瑞騰	B94167	P07台灣大2		2.25
20089122	PGIM保德信瑞騰	A07109	107央債甲9		2.24
20089122	PGIM保德信瑞騰	B71889	P06中油1B		2.24
73990649	PGIM保德信科技島	2330	台積電	260000	9.01
73990649	PGIM保德信科技島	6271	同欣電	450000	7.44
73990649	PGIM保德信科技島	2454	聯發科	100000	6.22
73990649	PGIM保德信科技島	3037	欣興	350000	5.1
73990649	PGIM保德信科技島	3035	智原	300000	4.69
98638350	PGIM保德信策略成長ETF組合-新台幣	US4642882579	iShares MSCI ACWI ETF	42980	14.81
98638350	PGIM保德信策略成長ETF組合-新台幣	IE00B5BMR087	iShares安碩核心標普500 UCITS	9100	14.2
98638350	PGIM保德信策略成長ETF組合-新台幣	US9220428745	先鋒富時歐洲ETF	28500	6.36
98638350	PGIM保德信策略成長ETF組合-新台幣	US78462F1030	SPDR標普500 ETF信託基金	3750	5.74
98638350	PGIM保德信策略成長ETF組合-新台幣	US4642882405	iShares安碩ACWI(美國除外)ETF	26000	4.84
98640603	PGIM保德信美元高收益債券-新臺幣累積型	US50077LAB27	KHC 4 3/8 06/01/46		4.85
98640603	PGIM保德信美元高收益債券-新臺幣累積型	US674599EF81	OXY 6 1/8 01/01/31		3.64
98640603	PGIM保德信美元高收益債券-新臺幣累積型	US25470XAY13	DISH 7 3/4 07/01/26		2.56
98640603	PGIM保德信美元高收益債券-新臺幣累積型	US85207UAF21	S 7 7/8 09/15/23		2.36
98640603	PGIM保德信美元高收益債券-新臺幣累積型	US35671DCH61	FCX 4 5/8 08/01/30		2.08
98639616	PGIM保德信美國投資級企業債券-新臺幣累積型	US161175BR49	CHTR 5.05 03/30/29		1.86
98639616	PGIM保德信美國投資級企業債券-新臺幣累積型	US404280CX53	HSBC 2.251 11/22/27		1.59
98639616	PGIM保德信美國投資級企業債券-新臺幣累積型	US00774MAS44	AER 1 3/4 01/30/26		1.45
98639616	PGIM保德信美國投資級企業債券-新臺幣累積型	US06738EAP07	BACR 5.2 05/12/26		1.35
98639616	PGIM保德信美國投資級企業債券-新臺幣累積型	US404119CA57	HCA 3 1/2 09/01/30		1.34
18044064	PGIM保德信金平衡	2330	台積電	150000	8.95
18044064	PGIM保德信金平衡	A06105	106央債甲5		4.94
18044064	PGIM保德信金平衡	B69802	P10緯穎1		4.94
18044064	PGIM保德信金平衡	G13427	P09輸銀4		4.94
18044064	PGIM保德信金平衡	2618	長榮航	1250000	3.98
92013967	PGIM保德信金滿意	2330	台積電	1094292	8.49
92013967	PGIM保德信金滿意	4927	泰鼎-KY	3002000	3.83
92013967	PGIM保德信金滿意	6104	創惟	1200000	3.77
92013967	PGIM保德信金滿意	3596	智易	2520000	3.7
92013967	PGIM保德信金滿意	6279	胡連	2289000	3.64
1032183	PGIM保德信高成長	2330	台積電	1150000	8.73
1032183	PGIM保德信高成長	6271	同欣電	2400000	8.68
1032183	PGIM保德信高成長	6679	鈺太	796000	4.87
1032183	PGIM保德信高成長	3037	欣興	1500000	4.79
1032183	PGIM保德信高成長	2454	聯發科	300000	4.09
98639126	中國信託10年期以上優先順位金融債券ETF	US95000U2M49	WFC 5.013 04/04/51		4.72
98639126	中國信託10年期以上優先順位金融債券ETF	US06051GJA85	BAC 4.083 03/20/51		4.12
98639126	中國信託10年期以上優先順位金融債券ETF	US06051GJE08	BAC 2.676 06/19/41		3.05
98639126	中國信託10年期以上優先順位金融債券ETF	US46647PAL04	JPM 3.964 11/15/48		2.56
98639126	中國信託10年期以上優先順位金融債券ETF	US95000U2Q52	WFC 3.068 04/30/41		2.33
98639594	中國信託10年期以上電信業美元公司債券ETF	US92343VCQ59	VZ 4.4 11/01/34		2.94
98639594	中國信託10年期以上電信業美元公司債券ETF	US92343VCX01	VZ 4.522 09/15/48		2.73
98639594	中國信託10年期以上電信業美元公司債券ETF	US00206RMN97	T 3.8 12/01/57		2.71
98639594	中國信託10年期以上電信業美元公司債券ETF	US00206RKA94	T 3.65 06/01/51		2.56
98639594	中國信託10年期以上電信業美元公司債券ETF	US00206RDJ86	T 4 1/2 03/09/48		2.55
98639125	中國信託10年期以上高評級美元公司債券ETF	USU20030AL34	CMCSA 2.937 11/01/56 REGS		1.9
98639125	中國信託10年期以上高評級美元公司債券ETF	US594918CC64	MSFT 2.525 06/01/50		1.83
98639125	中國信託10年期以上高評級美元公司債券ETF	US023135BJ40	AMZN 4.05 08/22/47		1.7
98639125	中國信託10年期以上高評級美元公司債券ETF	US437076AS19	HD 5 7/8 12/16/36		1.34
98639125	中國信託10年期以上高評級美元公司債券ETF	US92826CAF95	V 4.3 12/14/45		1.31
98640430	中國信託15年期以上已開發市場ESG投資級美元公司債券ETF	US61747YDY86	MS 4.3 01/27/45		6.2
98640430	中國信託15年期以上已開發市場ESG投資級美元公司債券ETF	USU20030AL34	CMCSA 2.937 11/01/56 REGS		5.47
98640430	中國信託15年期以上已開發市場ESG投資級美元公司債券ETF	US17275RAD44	CSCO 5.9 02/15/39		5.05
98640430	中國信託15年期以上已開發市場ESG投資級美元公司債券ETF	US06051GJE08	BAC 2.676 06/19/41		5.01
98640430	中國信託15年期以上已開發市場ESG投資級美元公司債券ETF	US92343VDU52	VZ 5 1/4 03/16/37		4.58
98640429	中國信託15年期以上新興市場美元主權低碳債券ETF	XS2125308242	ADGB 3 7/8 04/16/50		4.42
98640429	中國信託15年期以上新興市場美元主權低碳債券ETF	XS1696899035	ADGB 4 1/8 10/11/47		3.89
98640429	中國信託15年期以上新興市場美元主權低碳債券ETF	XS2225210330	ADGB 2.7 09/02/70		3.42
98640429	中國信託15年期以上新興市場美元主權低碳債券ETF	XS2167193015	ISRAEL 3.8 05/13/60		3.31
98640429	中國信託15年期以上新興市場美元主權低碳債券ETF	XS2057866191	ADGB 3 1/8 09/30/49		2.99
98638843	中國信託2024年到期新興主權債券-美元A	USY7138AAE02	PERTIJ 4.3 05/20/23		4.91
98638843	中國信託2024年到期新興主權債券-美元A	USG3925DAB67	GGBRBZ 4 3/4 04/15/23		4.77
98638843	中國信託2024年到期新興主權債券-美元A	XS1061043011	OCPMR 5 5/8 04/25/24		4.77
98638843	中國信託2024年到期新興主權債券-美元A	US06120TAA60	BCHINA 5 11/13/24		4.54
98638843	中國信託2024年到期新興主權債券-美元A	USN1384FAB15	BHARTI 5.35 05/20/24		4.5
98639861	中國信託2026年到期新興優先順位債券-新台幣A	US71654QBW15	PEMEX 4 1/2 01/23/26		3.51
98639861	中國信託2026年到期新興優先順位債券-新台幣A	USP14517AA73	BNCE 4 3/8 10/14/25		3.19
98639861	中國信託2026年到期新興優先順位債券-新台幣A	USP1507SAH06	BSMXB 5 3/8 04/17/25		2.8
98639861	中國信託2026年到期新興優先順位債券-新台幣A	USP2205JAK62	CENSUD 5.15 02/12/25		2.67
98639861	中國信託2026年到期新興優先順位債券-新台幣A	US40049JAV98	TELVIS 6 5/8 03/18/25		2.66
98639595	中國信託20年期以上BBB級美元公司債券ETF	US03522AAJ97	ABIBB 4.9 02/01/46		2.61
98639595	中國信託20年期以上BBB級美元公司債券ETF	US126650CZ11	CVS 5.05 03/25/48		2.18
98639595	中國信託20年期以上BBB級美元公司債券ETF	US00206RKB77	T 3.85 06/01/60		1.82
98639595	中國信託20年期以上BBB級美元公司債券ETF	US00206RKE17	T 3.3 02/01/52		1.64
98639595	中國信託20年期以上BBB級美元公司債券ETF	US097023CW33	BA 5.805 05/01/50		1.62
98639053	中國信託MSCI中國外資自由投資50不含A及B股ETF	KYG875721634	Tencent Holdings Ltd		20.24
98639053	中國信託MSCI中國外資自由投資50不含A及B股ETF	KYG017191142	Alibaba Group Holdin		13.06
98639053	中國信託MSCI中國外資自由投資50不含A及B股ETF	KYG596691041	Meituan Dianping		5.98
98639053	中國信託MSCI中國外資自由投資50不含A及B股ETF	CNE1000002H1	China Construction B		4.79
98639053	中國信託MSCI中國外資自由投資50不含A及B股ETF	KYG8208B1014	JD.com Inc		4.35
98639237	中國信託中國國債及政策性金融債7至10年期債券ETF	CND10002D282	ADBCH 3.74 07/12/29		7.65
98639237	中國信託中國國債及政策性金融債7至10年期債券ETF	CND1000291L3	CGB 3.29 05/23/29		7.6
98639237	中國信託中國國債及政策性金融債7至10年期債券ETF	CND10002HV84	CGB 3.13 11/21/29		7.51
98639237	中國信託中國國債及政策性金融債7至10年期債券ETF	CND10002TD09	EXIMCH 3.23 03/23/30		7.38
98639237	中國信託中國國債及政策性金融債7至10年期債券ETF	CND100036Q75	CGB 2.68 05/21/30		7.24
98639935	中國信託亞太實質收息多重資產-台幣A	AU000000VCX7	Vicinity Centres		5.18
98639935	中國信託亞太實質收息多重資產-台幣A	HK0823032773	Link REIT		5.12
98639935	中國信託亞太實質收息多重資產-台幣A	SG1O33912138	Fortune Real Estate		4.91
98639935	中國信託亞太實質收息多重資產-台幣A	AU000000CQR9	Charter Hall Retail		4.72
98639935	中國信託亞太實質收息多重資產-台幣A	AU000000SCG8	Scentre Group		4.55
98638117	中國信託全球不動產收益-台幣A	US74340W1036	Prologis Inc		7.07
98638117	中國信託全球不動產收益-台幣A	CA29250N1050	Enbridge Inc		4.39
98638117	中國信託全球不動產收益-台幣A	US8666741041	Sun Communities Inc		3.76
98638117	中國信託全球不動產收益-台幣A	US29444U7000	Equinix Inc		3.61
98638117	中國信託全球不動產收益-台幣A	US2644115055	Duke Realty Corp		3.55
98638451	中國信託六年到期新興主權債券-台幣	US71654QBH48	PEMEX 4 7/8 01/18/24		5.98
98638451	中國信託六年到期新興主權債券-台幣	USG24422AA83	GGBRBZ 5.893 04/29/24		5.12
98638451	中國信託六年到期新興主權債券-台幣	XS0908769887	CROATI 5 1/2 04/04/23		4.98
98638451	中國信託六年到期新興主權債券-台幣	XS1061043011	OCPMR 5 5/8 04/25/24		4.96
98638451	中國信託六年到期新興主權債券-台幣	USY7138AAE02	PERTIJ 4.3 05/20/23		4.78
98636883	中國信託台灣活力	8358	金居	299000	5.35
98636883	中國信託台灣活力	8431	匯鑽科	309000	5.05
98636883	中國信託台灣活力	6213	聯茂	159000	4.89
98636883	中國信託台灣活力	2059	川湖	46000	4.7
98636883	中國信託台灣活力	8299	群聯	37000	4.5
98640431	中國信託恒生中國高股息ETF	KYG216771363	CHINA STATE CON		6
98640431	中國信託恒生中國高股息ETF	HK2380027329	CHINA POWER		5.5
98640431	中國信託恒生中國高股息ETF	CNE1000002R0	China Shenhua Energy		4.77
98640431	中國信託恒生中國高股息ETF	HK3377040226	Sino-Ocean Group Hol		3.95
98640431	中國信託恒生中國高股息ETF	CNE1000004Q8	Yanzhou Coal Mining		3.85
98639489	中國信託新興亞洲(不含中國)美元精選綜合債券ETF	XS1551355149	GENTMK 4 1/4 01/24/27		4.44
98639489	中國信託新興亞洲(不含中國)美元精選綜合債券ETF	USY72596BU56	RILIN 4 1/8 01/28/25		3.41
98639489	中國信託新興亞洲(不含中國)美元精選綜合債券ETF	XS1576750951	ICICI 3 1/4 09/09/22		3.13
98639489	中國信託新興亞洲(不含中國)美元精選綜合債券ETF	USY20721AJ83	INDON 6 5/8 02/17/37		2.65
98639489	中國信託新興亞洲(不含中國)美元精選綜合債券ETF	US718286BB24	PHILIP 7 3/4 01/14/31		2.45
98639488	中國信託新興市場0-5年期美元政府債券ETF	US195325BQ70	COLOM 4 02/26/24		4.38
98639488	中國信託新興市場0-5年期美元政府債券ETF	US445545AJ57	REPHUN 5 3/4 11/22/23		3.74
98639488	中國信託新興市場0-5年期美元政府債券ETF	XS1696908471	ADGB 2 1/2 10/11/22		3.55
98639488	中國信託新興市場0-5年期美元政府債券ETF	USP3772NHK11	COLOM 2 5/8 03/15/23		3.27
98639488	中國信託新興市場0-5年期美元政府債券ETF	XS1959337236	QATAR 3 3/8 03/14/24		3.2
98638864	中國信託智慧城市建設-台幣	US5949181045	Microsoft Corp		6.44
98638864	中國信託智慧城市建設-台幣	US67066G1040	NVIDIA Corp		5.1
98638864	中國信託智慧城市建設-台幣	US02079K3059	Alphabet Inc		4.59
98638864	中國信託智慧城市建設-台幣	US0231351067	Amazon.com Inc		4.41
98638864	中國信託智慧城市建設-台幣	US0378331005	Apple Inc		4.31
98638196	中國信託樂齡收益平衡-台幣A	US91324P1021	UnitedHealth Group I		8.05
98638196	中國信託樂齡收益平衡-台幣A	US9128283F58	T 2 1/4 11/15/27		6.42
98638196	中國信託樂齡收益平衡-台幣A	US4781601046	Johnson & Johnson		6.18
98638196	中國信託樂齡收益平衡-台幣A	US20030NCU37	CMCSA 4 1/4 10/15/30		5.75
98638196	中國信託樂齡收益平衡-台幣A	US0605051046	Bank of America Corp		5.54
98640677	中國信託特選小資高價30ETF	2330	台積電	1147000	26.74
98640677	中國信託特選小資高價30ETF	2454	聯發科	267000	11.18
98640677	中國信託特選小資高價30ETF	2308	台達電	565000	5.37
98640677	中國信託特選小資高價30ETF	5871	中租-KY	450000	4.36
98640677	中國信託特選小資高價30ETF	2357	華碩	292000	4.19
98640872	中國信託科技趨勢多重資產-臺幣A	US81369Y8030	Technology Select Se	63000	6.55
98640872	中國信託科技趨勢多重資產-臺幣A	US4642885135	iShares iBoxx High Y	95000	5.37
98640872	中國信託科技趨勢多重資產-臺幣A	98636577	中國信託華盈貨幣市場	17974135.2	4.82
98640872	中國信託科技趨勢多重資產-臺幣A	US78468R6229	SPDR Bloomberg High	55000	3.87
98640872	中國信託科技趨勢多重資產-臺幣A	US0378331005	Apple Inc		3.12
98639593	中國信託美國政府0至1年期債券ETF	US912828ZM50	T 0.125 04/30/22		6.66
98639593	中國信託美國政府0至1年期債券ETF	US91282CAG69	T 0.125 08/31/22		6.64
98639593	中國信託美國政府0至1年期債券ETF	US912828N308	T 2.125 12/31/22		5.38
98639593	中國信託美國政府0至1年期債券ETF	US912828M805	T 2 11/30/22		4.03
98639593	中國信託美國政府0至1年期債券ETF	US912828ZG82	T 0.375 03/31/22		4
98639239	中國信託美國政府20年期以上債券ETF	US912810SU34	T 1.875 02/15/51		4.74
98639239	中國信託美國政府20年期以上債券ETF	US912810SX72	T 2.375 05/15/51		3.98
98639239	中國信託美國政府20年期以上債券ETF	US912810SS87	T 1 5/8 11/15/50		3.72
98639239	中國信託美國政府20年期以上債券ETF	US912810SP49	T 1.375 08/15/50		3.67
98639239	中國信託美國政府20年期以上債券ETF	US912810RZ30	T 2 3/4 11/15/47		3.58
98639487	中國信託美國高評級市政債券ETF	US66285WFB72	N TX TOLLWAY AUTH REVENUE		5.43
98639487	中國信託美國高評級市政債券ETF	US13034VAB09	CALTEC 4.321 08/01/45		5.21
98639487	中國信託美國高評級市政債券ETF	US167725AC49	CHICAGO IL TRANSIT AUTH SALES		4.69
98639487	中國信託美國高評級市政債券ETF	US575718AB76	MASSIN 4.678 07/01/14		4.53
98639487	中國信託美國高評級市政債券ETF	US001306AB55	AHSCRP 5.024 07/01/45		4.35
98640583	中國信託臺灣ESG永續關鍵半導體ETF	2454	聯發科	2550000	20.91
98640583	中國信託臺灣ESG永續關鍵半導體ETF	2330	台積電	4258000	19.43
98640583	中國信託臺灣ESG永續關鍵半導體ETF	2303	聯電	25822000	10.17
98640583	中國信託臺灣ESG永續關鍵半導體ETF	3711	日月光投控	7432000	5.58
98640583	中國信託臺灣ESG永續關鍵半導體ETF	6415	矽力-KY	187000	5.14
98640757	中國信託臺灣綠能及電動車ETF	2330	台積電	1010000	11.02
98640757	中國信託臺灣綠能及電動車ETF	2317	鴻海	3601000	6.7
98640757	中國信託臺灣綠能及電動車ETF	1301	台塑	2245000	4.26
98640757	中國信託臺灣綠能及電動車ETF	2454	聯發科	204000	4
98640757	中國信託臺灣綠能及電動車ETF	2308	台達電	887000	3.95
98640076	中國信託越南機會-台幣	VN000000MBB5	Military Commercial		9.07
98640076	中國信託越南機會-台幣	VN0FUEVFVND5	VFMVN Diamond ETF	44000000	8.35
98640076	中國信託越南機會-台幣	VN000000HPG4	Hoa Phat Group JSC		7.74
98640076	中國信託越南機會-台幣	VN000000VHM0	Vinhomes JSC		5.48
98640076	中國信託越南機會-台幣	VN000000FPT1	FPT Corp		4.55
98638460	中國信託雄鷹新興市場債券-台幣A	US91086QAN88	MEX 7 1/2 04/08/33		7.3
98638460	中國信託雄鷹新興市場債券-台幣A	US105756BR01	BRAZIL 5.625 01/07/41		7.16
98638460	中國信託雄鷹新興市場債券-台幣A	US71647NAQ25	PETBRA 8 3/4 05/23/26		6.51
98638460	中國信託雄鷹新興市場債券-台幣A	US91086QAV05	MEX 6.05 01/11/40		6.31
98638460	中國信託雄鷹新興市場債券-台幣A	USY7140WAC20	IDASAL 6.53 11/15/28		4.16
98640926	中國信託電池及儲能科技ETF	CNE100003662	CATL		9.61
98640926	中國信託電池及儲能科技ETF	US0126531013	Albemarle Corp		9.4
98640926	中國信託電池及儲能科技ETF	US3687361044	Generac Holdings Inc		8.9
98640926	中國信託電池及儲能科技ETF	KR7051910008	LG Chem Ltd		8.24
98640926	中國信託電池及儲能科技ETF	KR7006400006	Samsung SDI Co Ltd		8.1
98639222	元大10年期以上美元投資級公共事業電能債券ETF	US209111FQ16	CON EDISON CO OF NY INC 4.5% 05/15/2058		2.17
98639222	元大10年期以上美元投資級公共事業電能債券ETF	US03040WAD74	AMERICAN WATER CAP CORP 6.593% 10/15/2037		1.81
